id,nama_tempat,kategori,kota,alamat,deskripsi,lat,long
1,Trans Studio Bandung,Taman Hiburan,Bandung,"Jl. Gatot Subroto No.289A, Cibangkong, Kec. Batununggal, Kota Bandung","Trans Studio Bandung adalah sebuah kompleks taman hiburan yang menawarkan pengalaman menyenangkan dan beragam wahana serta atraksi menarik untuk pengunjung segala usia. Dengan gabungan antara theme park, mall, hotel, dan bioskop, Trans Studio Bandung menjadi destinasi wisata yang menyenangkan dan lengkap.",-6.9250943,107.6364944
2,Farm House Susu Lembang,Taman Hiburan,Bandung,"Jl. Raya Lembang No.108, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat","Farm House Susu Lembang adalah destinasi yang menawarkan pengalaman peternakan yang unik dan suasana pedesaan yang menenangkan. Pengunjung dapat menikmati pemandangan yang indah dari pegunungan dan udara segar. Di dalamnya terdapat berbagai aktivitas menarik, seperti memerah susu sapi, memberi makan hewan ternak, atau berfoto dengan hewan lucu seperti domba dan kelinci. Terdapat juga kafe dan restoran yang menawarkan makanan dan minuman lezat, serta toko yang menjual produk susu segar.",-6.832969,107.6056183
3,Dusun Bambu,Taman Hiburan,Bandung,"Jl. Kolonel Masturi No.KM. 11, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat","Dusun Bambu adalah destinasi wisata yang menawarkan pengalaman yang menyatu dengan alam dengan suasana pedesaan yang tenang dan hijau. Dusun Bambu dikenal karena desainnya yang mengutamakan penggunaan bambu sebagai bahan bangunan utama, menciptakan suasana yang alami dan ramah lingkungan. Di dalam kompleks ini, pengunjung dapat menikmati berbagai fasilitas dan kegiatan, seperti berjalan-jalan di Taman Bamboo Village yang luas, menjelajahi Pasar Kagum yang menjual berbagai produk lokal dan kerajinan tangan, atau bersantap di restoran yang menyajikan hidangan tradisional dan internasional. Selain itu, terdapat juga area bermain untuk anak-anak, kolam renang, dan area kemping yang cocok untuk berkemah bersama keluarga atau teman.",-6.7897147,107.5791627
4,Kebun Binatang Bandung,Taman Hiburan,Bandung,"Jl. Kebun Binatang No.6, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","Kebun Binatang Bandung, juga dikenal sebagai Kebun Binatang Bandung atau Taman Margasatwa Bandung, adalah salah satu kebun binatang terbesar dan tertua di Indonesia. Terletak di kota Bandung, Jawa Barat, kebun binatang ini menawarkan pengalaman menarik bagi pengunjung yang ingin melihat dan belajar tentang berbagai jenis hewan dari seluruh dunia. Kebun Binatang Bandung memiliki beragam koleksi binatang, termasuk mamalia, burung, reptil, dan amfibi. Pengunjung dapat menjelajahi area kebun binatang yang luas dengan berjalan kaki atau menggunakan kereta gantung, yang memungkinkan mereka untuk melihat hewan-hewan yang beraneka ragam dan lingkungan mereka yang mirip aslinya. Selain itu, kebun binatang ini juga menyediakan pertunjukan hewan, pameran interaktif, dan area bermain untuk anak-anak",-6.8897177,107.6077282
5,Dago Dreampark,Taman Hiburan,Bandung,"Jl. Dago Giri No.Km. 2.2, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat","Dago Dreampark adalah kompleks rekreasi yang terletak di Dago, Bandung, yang menyajikan kombinasi pemandangan alam yang indah, wahana seru, dan berbagai aktivitas menarik untuk dinikmati oleh pengunjung",-6.8486423,107.625939
6,The Lodge Maribaya,Taman Hiburan,Bandung,"Jalan Maribaya No. 149/252 RT. 03 / RW. 15 Babakan, Gentong, Cibodas, Kec. Lembang, Kabupaten Bandung Barat","The Lodge Maribaya adalah salah satu tempat wisata di Lembang yang menawarkan berbagai akitivitas seperti camping, trekking mengelilingi area hutan pinus yang indah, acara gathering dan team building. Selain itu, pengunjung juga bisa  menikmati kuliner dan mencoba berbagai wahana yang instagrammable.",-6.8294112,107.6874666
7,Orchid Forest Cikole,Taman Hiburan,Bandung,"Jl. Tangkuban Perahu No.KM 8, Cikole, Lembang, Kabupaten Bandung Barat","Orchid Forest Cikole adalah taman yang menyajikan keindahan alam dengan beragam jenis anggrek dan suasana hutan yang menawan, menciptakan pengalaman yang menenangkan dan memikat bagi pengunjungnya.",-6.780493,107.637475
8,Kawasan Punclut,Taman Hiburan,Bandung,"Jl. Punclut, Ciumbuleuit, Kec. Cidadap, Kabupaten Bandung Barat","Kawasan Punclut adalah area wisata yang terletak di daerah Ciumbuleuit, Bandung, yang dikenal karena pemandangan alamnya yang indah, restoran-restoran yang menawarkan kuliner lezat, dan suasana yang tenang, menciptakan tempat yang ideal untuk bersantai dan menikmati keindahan alam sambil menikmati makanan yang lezat",-6.8419756,107.622824
9,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,"Jl. Asia Afrika, Balonggede, Kec. Regol, Kota Bandung","Alun-Alun Kota Bandung adalah lapangan terbuka yang menjadi pusat kegiatan sosial dan budaya di Kota Bandung, dengan taman-taman yang indah, area bermain anak, dan berbagai fasilitas publik yang menawarkan tempat rekreasi yang nyaman bagi pengunjung serta menjadi tempat berkumpulnya masyarakat untuk acara-acara penting dan kegiatan komunitas.",-6.9218571,107.6070141
10,Rabbit Town,Taman Hiburan,Bandung,"Jl. Rancabentang No.30-32, Ciumbuleuit, Kec. Cidadap, Kota Bandung","Rabbit Town adalah destinasi wisata unik yang menawarkan pengalaman interaktif dengan kelinci-kelinci yang lucu dan menggemaskan, dengan berbagai area bermain dan aktivitas seperti memberi makan kelinci, berfoto bersama, dan menjelajahi suasana alam yang asri, menciptakan pengalaman yang menyenangkan bagi pengunjung dari segala usia.",-6.8669518,107.6100859
11,Stone Garden Citatah,Taman Hiburan,Bandung,"Gunung Masigit, Citatah, Kec. Cipatat, Kabupaten Bandung Barat","Stone Garden adalah sebuah kawasan alam di Citatah yang menampilkan lanskap yang unik dan menakjubkan dengan formasi batuan alam yang megah dan eksotis, menciptakan panorama yang memukau dan menjadi tempat populer bagi pecinta alam, pendaki, dan fotografer untuk menikmati keindahan alam yang spektakuler.",-6.8281528,107.4350179
12,The Great Asia Africa,Taman Hiburan,Bandung,"Jl. Raya Lembang - Bandung No.71, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat","The Great Asia Africa adalah sebuah kompleks bangunan yang terletak di Bandung yang menjadi simbol persahabatan dan hubungan historis antara benua Asia dan Afrika, dengan menggabungkan arsitektur yang khas dari kedua benua tersebut, serta menampilkan berbagai fasilitas seperti museum, galeri seni, ruang pertemuan, dan area rekreasi yang menggambarkan keragaman budaya dan sejarah dari kedua benua tersebut.",-6.833123,107.6041595
13,Taman Bunga Cihideung,Taman Hiburan,Bandung,"Jl. Kolonel Masturi No.223, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat","Taman Bunga Cihideung adalah salah satu taman dan kebun yang sangat indah. Sesuai dengan namanya, taman ini memiliki berbagai aneka ragam jenis bunga yang indah. Taman Bunga Cihideung sendiri adalah taman bunga terbesar yang ada di kabupaten Bandung. Taman Bunga ini bukan hanya berisi tanaman-tanaman bunga namun juga menjual tanaman hias dan juga tanaman potong.",-6.8038883,107.5866313
14,Taman Balai Kota Bandung,Taman Hiburan,Bandung,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung","Taman Balai Kota Bandung adalah Taman yang terletak di sekitar kompleks Balai Kota Bandung, yang menyajikan area hijau yang luas, taman bermain, dan tempat duduk yang nyaman, menciptakan tempat yang ideal untuk bersantai, beristirahat, dan menikmati suasana yang tenang di tengah keramaian kota, serta menjadi tempat populer bagi warga dan pengunjung untuk berkumpul dan menikmati suasana kota.",-6.912966,107.6096031
